PRT_ID,AREA,SQFT,BEDROOM,BATHROOM,NO_OF_ROOM,PARK_FACIL,BUILDTYPE,UTILITY_AVAIL,STREET,MZZONE,QS_ROOMS,QS_BATHROOM,QS_BEDROOM,QS_OVERALL,REG_FEE,COMMIS,SALES_PRICE,PARKING
P09370,Adyar,1056,1,1,3,Yes,Others,NoSewr ,Paved,RH,2.2,3.4,3.7,3.19,319141,37546,9386490,1
P04085,Velachery,1865,3,2,5,No,Commercial,NoSewr ,Paved,RM,4.8,2.2,4.9,3.66,619987,294494,15499680,0
P06328,Velachery,1868,3,2,5,No,Commercial,NoSewr ,Gravel,RH,3.8,3.8,3.1,,597135,188569,15714080,0
P06039,Karapakkam,1639,2,2,4,Yes,House,ELO,Gravel,I,2.3,3.2,4.8,3.57,285648,77904,8656000,1
P02016,Chrompet,796,1,1,2,Yes,Commercial,AllPub,No Access,RL,3.5,4.6,4.7,4.3,316464,130951,10912550,1
P08160,Adyar,1136,1,1,3,Yes,Others,AllPub,Paved,A,4.6,2.6,2.9,3.35,323214,49725,8287550,1
P01372,Anna Nagar,1902,2,1,5,Yes,Commercial,ELO,Paved,RL,4.5,4.9,4.9,4.76,742113,212032,21203240,1
P00936,Chrompet,1069,1,1,3,Yes,Others,NoSewr ,Paved,RM,2.8,2.7,4.9,3.39,283544,43622,10905530,1
P07346,Chrompet,931,1,1,3,Yes,Others,ELO,Paved,RL,4.2,3.1,3.1,3.43,248021,27558,9185970,1
P06851,KK Nagar,2010,3,2,5,No,Others,NoSewr ,Gravel,RH,3.4,4.5,3.4,3.73,327762,262210,10925400,0
P04665,Chrompet,1074,1,1,3,No,Others,NoSewr ,Gravel,RL,3,3.4,4.9,3.73,288821,86646,9627380,0
P00902,TNagar,1972,2,1,5,No,Others,NoSewr ,No Access,RH,4.1,4.4,2.8,3.59,487297,167073,13922760,0
P00293,T Nagar,1685,1,1,4,No,House,NoSewr ,Gravel,RM,2.8,4.4,4,3.74,352830,176415,12601080,0
P02235,Adyar,1130,1,1,3,Yes,Commercial,ELO,Paved,RH,2.3,2.5,2.2,2.29,468417,53533,13383350,1
P04080,Karapakkam,1301,1,1,3,Yes,Others,NoSewr ,Gravel,C,2.8,2.7,3.8,3.17,357283,71457,7939625,1
P02677,Adyar,730,1,1,2,Yes,House,ELO,Gravel,RL,2.7,4.6,4.9,4.18,265449,53090,8848285,1
P00755,T Nagar,1806,2,1,5,No,House,NoSeWa,Paved,RH,4.1,5,3,3.83,430852,113382,11338200,0
P06980,Anna Nagar,1981,2,1,5,No,House,ELO,No Access,RL,2,3.1,3.2,2.755,373300,218831,12872430,0
P02696,Adyar,868,1,1,3,No,Others,NoSeWa,Gravel,RL,2.3,2.1,2,2.11,325514,72336,9042050,0
P01517,T Nagar,1721,1,1,4,Yes,Others,ELO,Paved,RM,2,2.8,2.9,2.605,416483,223116,14874380,1
P09650,Velachery,1755,2,1,4,Yes,Others,AllPub,Gravel,A,4.8,4.5,4.5,4.58,306671,173780,10222380,1
P05950,Anna Nagar,1709,1,1,4,No,Others,NoSeWa,Gravel,RH,4.8,3.2,4.3,4.2,452501,90500,12928590,0
P05051,KK Nagar,2114,3,2,5,Yes,Commercial,NoSeWa,Gravel,RH,2.7,3,3.9,3.27,632334,281037,17564820,1
P04978,Karapakkam,1226,1,1,3,No,House,AllPub,Paved,A,4,3.7,4.7,4.19,154109,114339,4971250,0
P03704,Velachery,1648,2,1,4,Yes,Others,NoSeWa,Paved,C,4.3,2.9,2,2.98,275120,82536,9170660,1
P02247,Chrompet,856,1,1,3,Yes,Others,NoSewr ,Gravel,RM,2.1,3.6,3.5,3.12,332269,103834,10383420,1
P07194,Adyar,904,1,1,3,No,Commercial,ELO,No Access,RM,3.8,3.2,2.6,3.08,348042,23203,11601400,0
P01107,Chrompet,1198,1,1,3,No,Others,AllPub,No Access,RH,3.9,3.4,4.4,3.85,255727,98991,8249260,0
P02442,Karapakkam,931,1,1,3,No,Commercial,AllPub,Paved,A,4,4.2,2.4,3.42,291669,166668,6944500,0
P06444,Karapakkam,1290,1,1,3,Yes,House,AllPub,Paved,RH,3.1,2.1,4.1,3.2,364015,92940,7745000,1
P05298,Karapakkam,507,1,1,2,Yes,House,ELO,Gravel,RH,2.6,4.6,4.6,4,252032,74464,5728000,1
P05882,KK Nagar,2492,4,2,6,No,Commercial,NoSeWa,Paved,RL,4.3,4.6,3.8,4.19,917550,224706,18725520,0
P02558,Karapakkam,851,1,1,2,No,House,AllPub,No Access,C,4,3.8,2.5,3.34,167896,39295,3572250,0
P09483,T Nagar,1882,2,1,5,Yes,Others,ELO,Gravel,RM,3.9,4.5,4.7,,433393,272877,16051580,1
P06006,Anna Nagar,1710,1,1,4,Yes,Commercial,AllPub,Gravel,RH,2.7,4,2.2,2.825,808639,161728,20215970,1
P04106,Karapakkam,1412,2,2,4,No,House,ELO,Gravel,RL,4.1,2.9,3.1,3.34,251370,192717,8379000,0
P09556,Adyar,779,1,1,2,No,House,NoSewr ,No Access,C,3.6,4.4,2.4,3.16,190463,31744,5290635,0
P00389,T Nagar,1655,1,1,4,No,Others,AllPub,Gravel,RH,2.1,4.3,3.9,3.46,376468,238430,12548930,0
P05245,Karapakkam,940,1,1,3,No,House,AllPub,Paved,RH,2.7,2.7,4.1,3.26,263599,64435,5857750,0
P01690,KK Nagar,1667,2,1,4,Yes,House,NoSeWa,Paved,RM,4.8,2.1,5,4.07,364810,268243,10729700,1
P07753,KK Nagar,1926,3,2,5,Yes,Commercial,NoSeWa,Paved,RM,3.1,2.9,4.7,3.68,816325,153061,17006780,1
P08611,Adyar,718,1,1,2,Yes,Others,ELO,No Access,C,2,3.9,3.4,3.08,211662,55701,5570050,1
P01934,Karapakkam,545,1,1,2,No,Others,ELO,No Access,RH,3.1,2.2,3.4,2.95,165738,88651,3854375,0
P06326,Karapakkam,1249,1,1,3,Yes,Others,ELO,Gravel,RH,2.8,3.7,3.5,3.35,318010,120328,8594875,1
P00865,T Nagar,1894,2,1,5,Yes,House,NoSewr ,Gravel,RL,2,3.7,4.4,3.505,406478,162591,13549250,1
P02088,Karapakkam,1469,2,2,4,No,Commercial,NoSewr ,No Access,C,4.7,2,2.4,2.97,284423,132731,9480750,0
P07770,Adyar,916,1,1,3,Yes,House,ELO,No Access,A,3.6,3,3.9,3.63,228053,23390,5847520,1
P08118,Chrompet,934,1,1,3,Yes,House,NoSeWa,Paved,RM,3.4,4,3.8,3.76,310749,58265,9710900,1
P03221,Karapakkam,1691,2,2,4,No,House,NoSeWa,Gravel,RM,4,3.9,3.5,3.77,319558,178576,9398750,0
P03273,Karapakkam,1236,1,1,3,No,Commercial,NoSewr ,Paved,I,3.3,3.3,2,2.78,334638,114481,8806250,0
P08667,T Nagar,1577,1,1,4,Yes,Others,NoSeWa,Paved,RH,3.8,4.7,3.9,4.07,302183,193397,12087330,1
P03791,Anna Nagar,1915,2,1,5,Yes,Others,NoSeWa,Gravel,RH,4.6,2.3,4.5,3.985,354391,170107,14175620,1
P01247,Anna Nagar,1600,1,1,4,Yes,House,ELO,Gravel,RH,3.9,2.7,2.5,3.04,309941,166891,11920820,1
P02391,Velachery,1579,2,1,4,Yes,Commercial,ELO,Paved,I,4.6,2.3,2.3,2.88,467766,240565,13364730,1
P07825,Adyar,1260,2,2,4,No,Others,NoSeWa,No Access,A,3.8,4.1,4.5,4.21,256150,34615,6922975,0
P05787,Adyar,1021,1,1,3,No,Commercial,NoSeWa,Paved,I,3.5,4.8,2.5,3.26,361868,175098,11673175,0
P02285,KK Nagar,2174,3,2,5,Yes,Others,AllPub,Paved,RM,2.9,2.1,2.3,2.42,548929,313674,13069740,1
P05304,Anna Nagar,1589,1,,4,No,Others,AllPub,Gravel,RL,2.1,2.5,4.5,3.16,451857,85486,12212350,0
P05309,Adyar,668,1,1,2,Yes,Commercial,NoSeWa,Gravel,I,4.9,2.9,3.5,3.8,329074,102836,10283575,1
P09664,Velachery,1724,2,1,4,Yes,House,ELO,No Access,RL,3.8,2.2,2,2.54,358259,152260,8956480,1
P02813,Adyar,890,1,1,3,Yes,House,NoSewr ,Paved,C,2.5,4.7,5,4.19,251557,43124,7187350,1
P08933,Adyar,1218,2,2,4,No,Commercial,AllPub,No Access,I,4.7,3.9,3.3,3.84,377246,138323,12574850,0
P03590,Anna Nagar,1792,1,1,4,Yes,House,ELO,Gravel,RM,2.7,2.6,2,2.395,514532,250313,13906270,1
P01725,Karapakkam,1378,2,2,4,No,Others,NoSewr ,Gravel,RM,4.2,2.8,2.6,3.14,297525,208268,9917500,0
P06570,Karapakkam,898,1,1,3,Yes,Commercial,NoSewr ,Paved,RH,2.4,3.1,2.1,2.49,345190,215744,8629750,1
P02686,Anna Nagar,1928,2,1,5,No,House,AllPub,No Access,RH,3.4,4.1,2.4,3.175,466682,105003,11667050,0
P07789,Chrompet,1233,2,1,4,No,House,NoSeWa,Gravel,RM,2.2,2,4.6,2.84,245429,107989,9817150,0
P08836,Velachery,1618,2,1,4,Yes,Others,NoSewr ,Paved,C,4,4.3,4.1,4.17,370522,92631,9263050,1
P02716,Karapakkam,627,1,1,2,No,House,NoSewr ,Gravel,RM,4.3,2.8,2.5,3.13,223975,92225,6587500,0
P09780,Velachery,1563,2,1,4,No,House,NoSeWa,Gravel,RM,4.7,4.5,2.6,3.98,303780,195987,9799360,0
P06528,Karapakkam,1693,2,2,4,Yes,Commercial,NoSewr ,Gravel,C,3.9,2.1,3.9,3.36,384045,166420,12801500,1
P06989,T Nagar,1522,1,1,4,No,Commercial,AllPub,Gravel,RL,4.2,3.6,3.5,3.735,506181,174545,17454510,0
P07824,Adyar,1090,1,1,3,Yes,Others,NoSeWa,Gravel,RH,3.1,2.7,2.3,2.62,373632,98324,9832420,1
P00545,Chrompet,1085,1,1,3,Yes,Commercial,NoSewr ,Gravel,RL,2.8,3.8,4.6,,387815,100545,14363500,1
P06461,T Nagar,1687,1,1,4,No,Others,NoSewr ,Paved,RH,4.6,4.6,2,3.43,411733,224582,12476770,0
P07650,Adyar,692,1,1,2,Yes,Commercial,AllPub,Paved,RH,4.1,4.4,5,4.61,394491,124576,10381355,1
P07887,T Nagar,1518,1,1,4,Yes,Commercial,AllPub,Paved,RH,3.7,3.5,4.1,3.83,457606,158402,17600240,1
P08050,Adyar,1025,1,1,3,No,Commercial,NoSeWa,Paved,I,2.5,2.5,2.7,2.6,349916,142153,10934875,0
P04677,KK Nagar,2170,3,2,5,Yes,House,NoSewr ,Gravel,RL,3.7,4.6,4,4.09,593864,284560,12372160,1
P03124,Chrompet,969,1,1,3,Yes,Commercial,ELO,No Access,RH,3.4,2.4,4,3.18,337463,146234,11248750,1
P08147,KK Nagar,1546,2,1,4,No,Commercial,AllPub,Gravel,RM,2.5,4.3,2.8,3.16,441475,142411,14241140,0
P06097,KK Nagar,1709,2,1,4,Yes,House,NoSeWa,Paved,RL,4.3,3.7,2,3.2,467388,233694,10160600,1
P00959,T Nagar,1659,1,1,4,Yes,Others,NoSeWa,No Access,RL,3.8,2.3,3.8,3.425,433251,216625,13539080,1
P00057,Chrompet,755,1,1,2,No,Commercial,ELO,Gravel,RM,3.8,4.4,2.7,3.71,289649,42911,10727750,0
P08607,Adyar,1182,1,1,3,Yes,House,AllPub,No Access,RL,3.2,3.5,3.1,3.21,374948,39468,9867055,1
P01632,Adyar,735,1,1,2,No,Commercial,NoSeWa,No Access,RH,2.7,4,4,3.61,284361,132702,9478710,0
P00937,Chrompet,1089,1,1,3,Yes,House,ELO,Paved,RL,2.7,2.9,3.1,2.9,235305,45251,9050200,1
P09868,Velachery,1534,2,1,4,Yes,Others,ELO,Paved,C,4.7,4.6,2.3,3.94,284552,63234,7904210,1
P08848,Anna Nagar,1622,1,1,4,Yes,House,ELO,Gravel,RL,4.4,3.7,4.2,4.145,378840,209015,13063450,1
P07681,KK Nagar,2198,3,2,5,Yes,Others,NoSewr ,Gravel,RM,4.8,4.2,3.9,4.26,679249,122265,13584980,1
P00407,Chrompet,1293,2,1,4,No,Commercial,ELO,No Access,RL,3.1,2.2,3.8,2.95,419714,157393,13116050,0
P06126,KK Nagar,1641,2,1,4,No,Others,AllPub,Gravel,RL,4.6,4.4,3.1,3.94,460580,190239,10012600,0
P09763,Velachery,1950,3,2,5,Yes,Others,NoSeWa,Paved,RL,5,4.2,3.4,4.16,411601,84741,12105920,1
P02652,Karapakkam,1245,1,1,3,No,Others,NoSeWa,Paved,A,4.1,2.9,3.5,3.5,201653,113123,4918375,0
P06329,Chrompet,905,1,1,3,No,Others,ELO,Gravel,RH,3.8,3.5,4,3.74,223393,77032,7703200,0
P01701,KK Nagar,1496,2,1,4,No,House,NoSewr ,Gravel,RH,3.2,3.8,2.8,3.22,265641,137105,8569080,0
P09722,Velachery,1892,3,2,5,Yes,House,ELO,Gravel,RM,3.9,3.5,4.8,3.99,449425,133613,12146620,1
P04743,Velachery,1517,2,1,4,No,Commercial,ELO,Paved,C,4,4.6,2.9,3.94,408507,116716,11671620,0
P06768,Adyar,1034,1,1,3,Yes,Others,ELO,Gravel,C,3.8,3.3,3.5,,277702,46284,9256740,1
P06746,Velachery,1755,2,1,4,Yes,Commercial,NoSewr ,Gravel,I,4.6,4,3.9,4.12,581720,193907,14915900,1
P00934,Anna Nagar,1622,1,1,4,Yes,House,NoSeWa,Paved,RM,2.2,3.3,2.2,2.475,406434,243860,13547790,1
P00899,Chrompet,1092,1,1,3,No,Others,AllPub,No Access,RH,2.4,2.4,2,2.28,246391,57491,8213040,0
P00566,Chrompet,821,1,1,3,No,House,NoSeWa,Paved,RH,3.4,4.6,2.9,3.73,182600,65736,7304000,0
P07878,KK Nagar,1694,2,1,4,No,Others,NoSeWa,Gravel,RL,4,2,3.9,3.36,353291,114300,10390900,0
P05305,Anna Nagar,1809,2,1,5,No,Commercial,AllPub,No Access,RL,3,3.5,2,2.725,518585,230482,19206870,0
P02252,Karapakkam,1401,2,2,4,Yes,Others,AllPub,Gravel,RL,3.8,4.3,4,4.03,438477,229204,9965375,1
P03571,Karapakkam,1470,2,2,4,No,Others,NoSewr ,No Access,RH,3.1,3,3.1,3.07,302694,172968,7207000,0
P00942,Chrompet,798,1,1,2,No,Commercial,NoSewr ,Paved,RH,2.3,2.6,3.6,2.81,253975,145129,9070550,0
P08304,Chrompet,764,1,1,2,No,House,ELO,No Access,RH,3.3,3.2,2.1,2.9,158766,90723,5670200,0
P07597,Chrompet,1135,1,1,3,No,Others,NoSewr ,No Access,RM,4.9,2.1,3.8,3.45,296102,148051,9253200,0
P06565,Karapakkam,939,1,1,3,No,House,ELO,No Access,I,4.9,3.7,3.3,3.9,214700,38646,4294000,0
P06398,Karapakkam,1586,2,2,4,Yes,Commercial,NoSewr ,Gravel,RM,3.9,3,4.5,3.87,586956,200424,14316000,1
P09293,T Nagar,1973,2,1,5,Yes,Commercial,AllPub,Gravel,RM,2.6,2.9,4.9,3.71,885666,116535,23307000,1
P09021,Chrompet,1023,1,1,3,Yes,House,AllPub,Pavd,RM,3,2.8,3.6,3.1,282319,38941,9735150,1
P04325,Chrompet,884,1,1,3,No,Commercial,NoSewr ,No Access,RM,2.3,3.8,2.4,2.93,283410,45346,11336400,0
P05031,Anna Nagar,1640,1,1,4,No,Commercial,ELO,No Access,RH,2.5,3.1,3.5,3.05,495645,194718,17701600,0
P08918,Adyar,622,1,1,2,No,Others,ELO,No Access,RL,2.7,4.9,3.5,3.54,216906,72302,6572900,0
P05947,Anna Nagar,1880,2,1,5,Yes,House,NoSeWa,No Access,RM,3.2,4.2,4,3.77,483229,214768,13423020,1
P05350,KK Nagar,2413,4,2,6,No,Others,NoSeWa,Paved,RM,2.5,2.4,2.9,2.63,419905,170587,13122040,0
P07092,T Nagar,1649,1,1,4,No,Commercial,AllPub,Gravel,RH,2.1,2,4.6,3.2,681808,113635,18939100,0
P08337,Velachery,1729,2,1,4,Yes,Commercial,NoSewr ,Paved,A,3.3,4,4,3.83,396911,128036,12803570,1
P00089,T Nagar,1942,2,1,5,No,House,NoSeWa,Gravel,RH,4.6,3.1,2.9,,320599,61654,12330740,0
P00403,Chrompet,711,1,1,2,Yes,Others,NoSeWa,No Access,RL,2.6,3.2,2.8,2.9,249558,64402,8050270,1
P00717,Chrompet,885,1,1,3,No,House,ELO,No Access,RM,4.6,2.7,2.1,3.09,237422,107919,7194600,0
P06064,KK Nagar,1688,2,1,4,Yes,House,NoSewr ,Gravel,RM,2,2.5,4.4,3.11,547810,285318,11412700,1
P08625,Adyar,1236,2,2,4,No,Commercial,ELO,Gravel,A,3.7,3.5,4.4,4.01,481414,24071,12035355,0
P02917,Karapakkam,926,1,1,3,No,House,ELO,Gravel,RL,4.3,4.8,2.9,3.89,288834,68770,6877000,0
P06881,KK Nagar,1686,2,1,4,No,Others,NoSeWa,Paved,RM,3.2,2.7,3.9,3.33,382817,196582,10346400,0
P05823,Karapakkam,1344,2,2,4,No,Commercial,NoSewr ,Gravel,RH,4.6,4.2,3.3,3.96,453999,259428,10809500,0
P01492,KK Nagar,1437,2,1,4,No,Others,AllPub,Gravel,RM,3.8,4.6,2.6,3.56,489629,102006,10200600,0
P06226,Karapakkam,1430,2,2,4,Yes,Others,NoSewr ,No Access,A,4.3,3.2,3.8,,238887,106172,6635750,1
P07481,Adyar,1081,1,1,3,No,House,AllPub,No Access,C,3.5,3.1,3.2,3.27,241416,6190,6190150,0
P05518,Karapakkam,1352,2,2,4,Yes,House,ELO,Gravel,A,3,2,3.5,2.9,240768,123638,6507250,1
P06801,KK Nagar,1986,3,2,5,No,House,AllPub,Gravel,RM,4.9,3.6,4.6,4.39,476717,227008,11350400,0
P07373,Anna Nagar,1758,1,1,4,Yes,Commercial,AllPub,No Access,RL,3.5,2.9,4,3.55,713565,231426,19285540,1
P04399,Karapakkam,607,1,1,2,No,Other,NoSeWa,Gravel,RL,4.2,4.9,2.2,3.61,175699,117133,5856625,0
P07490,KK Nagar,2139,3,2,5,Yes,Others,NoSewr ,Paved,RL,2.3,4.1,2.4,2.88,424048,249440,12472000,1
P05417,KK Nagar,1488,2,1,4,No,Others,AllPub,Paved,RH,2.3,5,4.1,3.83,405211,202606,8441900,0
P09702,Velachery,1645,2,1,4,No,House,NoSeWa,No Access,RH,3.7,4.5,2.1,3.58,250118,75793,7579320,0
P05869,Chrompet,950,1,1,3,Yes,Others,NoSeWa,Gravel,RL,3.7,2.6,3.4,3.17,273252,146385,9759000,1
P00534,Chrompet,928,1,1,3,Yes,Commercial,AllPub,Gravel,RH,2.1,3.8,3.7,3.26,409985,62119,12423800,1
P07334,Velachery,1693,2,1,4,Yes,Commercial,NoSewr ,Paved,RM,4.1,2.7,4.1,3.47,604335,108470,15495760,1
P08511,Velachery,1873,3,2,5,Yes,Others,ELO,No Access,RL,4.8,3.4,3.9,3.9,363735,198401,11022270,1
P04112,Adyar,721,1,1,2,No,Others,NoSeWa,Paved,RL,3.4,2.8,4.6,3.88,273800,60844,7605550,0
P02262,Karapakkam,1190,1,1,3,Yes,House,NoSewr ,Gravel,RH,4.3,4.1,3.8,4.04,342613,127484,7967750,1
P03305,KK Nagar,1593,2,1,4,No,Others,AllPub,Paved,RH,3.2,3.2,4.2,3.6,402606,223670,8946800,0
P05447,Chrompet,786,1,1,2,Yes,Others,ELO,Gravel,RL,4.4,4.8,4.3,4.53,249610,83203,9244820,1
P02126,Chrompet,1195,1,1,3,No,Others,NoSeWa,Paved,RL,3,4.7,3.2,3.74,265183,29465,9821600,0
P06964,Velachery,1824,3,2,5,No,House,NoSewr ,Paved,I,3.9,2.3,4.1,,273570,76942,8549060,0
P08195,KK Nagar,1906,3,2,5,Yes,Commercial,NoSeWa,Paved,RH,3.7,4.7,3,3.72,792637,206086,15852740,1
P04311,Adyar,656,1,1,2,No,Commercial,AllPub,Paved,I,4.5,2.3,2.3,2.96,280244,113849,8757635,0
P08974,Chrompet,727,1,1,2,No,Others,ELO,Gravel,RM,3.1,4.3,2.5,3.4,218816,100992,8415990,0
P04824,Adyar,931,1,1,3,Yes,Others,ELO,Paved,RM,2,3.6,4,3.32,367617,19871,9935595,1
P09337,Velachery,1898,3,2,5,Yes,Commercial,ELO,No Access,RM,3.9,2.7,4.4,3.51,581625,332357,16617860,1
P08903,Anna Nagar,1698,1,1,4,No,House,NoSeWa,Gravel,RM,5,4.9,3.1,4.215,359949,198593,12412050,0
P08975,T Nagar,1926,2,1,5,Yes,Commercial,NoSewr ,No Access,RM,4.2,4.9,3.1,3.88,633655,203675,22630540,1
P03906,Karapakkam,1481,2,2,4,Yes,Commercial,AllPub,Paved,A,3.7,4.9,2.3,3.5,485174,178227,9901500,1
P08737,Anna Nagar,1506,1,1,4,No,House,ELO,No Access,RM,3.9,3.4,2.1,3.055,417996,177648,10449910,0
P00163,Chrompet,1020,1,1,3,No,House,NoSeWa,No Access,RM,4.2,2.4,4.1,3.45,206664,31794,7948600,0
P07499,Chrompet,889,1,1,3,No,Others,ELO,Gravel,RM,5,2.4,2,3.06,300256,136480,9098680,0
P01939,Chrompet,1015,1,1,3,Yes,House,AllPub,Paved,RH,3.9,4.4,2,3.53,275314,66743,8342850,1
P03550,T Nagar,1682,1,1,4,No,Commercial,AllPub,Gravel,RH,3.7,3,3.5,3.435,690507,111974,18662350,0
P00920,Chrompt,869,1,1,3,No,Others,NoSewr ,No Access,RM,4.3,4.8,3.3,4.2,220661,138935,8172630,0
P01500,Karapakkam,1445,2,2,4,No,House,NoSeWa,No Access,I,4.9,2.9,2.5,3.34,216691,87848,5856500,0
P00340,Anna Nagar,1919,2,1,5,Yes,House,NoSeWa,Gravel,RM,2.4,5,3.3,3.41,544054,117633,14704160,1
P02832,Adyar,1243,2,2,4,Yes,Commercial,NoSeWa,Paved,C,3.9,4.3,2.2,3.13,440895,26721,13360440,1
P04417,Karapakkam,857,1,1,2,No,House,ELO,Paved,I,3.6,2.4,3.4,3.16,236556,59139,4928250,0
P05246,Karapakkam,1055,1,1,3,Yes,Others,NoSeWa,Gravel,I,3.7,2.3,4.8,3.72,226769,117042,7315125,1
P02863,KK Nagar,1778,3,2,5,No,Others,NoSewr ,Gravel,RL,3.1,3.9,4.4,3.86,340948,153976,10998320,0
P03006,Karapakkam,851,1,1,2,No,Others,ELO,Paved,A,3.8,4.8,2.6,3.62,181073,39364,3936375,0
P08264,Chrompet,1021,1,1,3,Yes,Others,NoSewr ,No Access,RL,2,2.5,4.6,2.98,276053,147228,9201770,1
P04420,KK Nagar,2203,3,2,5,Yes,Commercial,NoSewr ,Paved,RL,2.9,2,4,3.07,572520,339934,17891240,1
P04928,Karapakkam,613,1,1,2,No,Commercial,NoSewr ,No Access,I,4.6,4.3,2.3,3.59,195491,66879,5144500,0
P08752,Adyar,738,1,1,2,No,Commercial,NoSewr ,No Access,I,2.4,4.7,5,,324194,8313,8312670,0
P03833,Karapakkam,1489,2,2,4,No,House,ELO,Gravel,RH,4.4,3.2,4,3.88,384348,200181,8007250,0
P06156,Karapakkam,795,1,1,2,Yes,House,NoSewr ,Gravel,RM,3.4,2.6,4.9,3.76,254378,127189,8479250,1
P01763,Velachery,1909,3,2,5,Yes,Others,AllPub,Gravel,A,4.6,4.1,5,4.5,303875,212712,10129160,1
P02399,Chrompet,1252,2,1,4,No,House,AllPub,No Access,RM,3.6,4.9,4.6,4.42,265502,47411,9482200,0
P03260,Karapakkam,1077,1,1,3,No,Commercial,ELO,Paved,RM,3.3,4.9,4.2,4.14,305249,246169,9846750,0
P08138,KK Nagar,1524,2,1,4,No,Others,NoSewr ,Paved,RH,3.6,2.7,2.8,3.01,303654,208220,8675820,0
P07941,Chrompet,1049,1,1,3,Yes,House,ELO,Gravel,RM,4.2,4.9,3.4,4.24,328398,133412,10262450,1
P08181,Velachery,1780,2,1,4,No,Others,AllPub,Gravel,C,4.7,2,2.9,2.95,329500,130066,8671050,0
P07510,Chrompet,946,1,1,3,No,Commercial,ELO,No Access,RL,3.8,3.1,4.5,3.73,368463,111656,11165550,0
P07420,Chrompet,906,1,1,3,Yes,House,NoSewr ,Gravel,RM,3.2,4.6,3.2,3.76,302874,28394,9464800,1
P04010,KK Nagar,2344,4,2,6,No,Commercial,NoSeWa,Gravel,RM,4.9,3.2,4.4,4.19,622046,471247,18849880,0
P06446,Adyar,929,1,1,3,Yes,Others,NoSeWa,Paved,RH,2.4,2.3,2.7,2.53,341295,75843,9480425,1
P06517,Anna Nagar,1843,2,1,5,No,House,ELO,No Access,RL,3.9,3.4,3.3,3.535,318884,147177,12264750,0
P06871,Anna Nagar,1918,2,1,5,Yes,Commercial,AllPub,Gravel,RL,3.2,2.5,2.3,2.665,809377,218751,21875050,1
P07432,KK Nagar,1507,2,1,4,Yes,Commercial,AllPub,Paved,RH,3.2,4.8,3,3.6,636313,243694,13538580,1
P03326,KK Nagar,1499,2,1,4,No,House,AllPub,Gravel,RH,2.5,3,4.6,3.49,372805,186403,8876320,0
P01979,KK Nagar,1526,2,1,4,Yes,Commercial,AllPub,Paved,RH,4.1,3.8,4.5,4.17,518512,327481,13645040,1
P07185,Anna Nagar,1855,2,1,5,Yes,Commercial,NoSewr ,Paved,RH,3.3,2.1,4.8,3.6,839848,188966,20996200,1
P03108,Karapakkam,1627,2,2,4,Yes,Others,ELO,Paved,RH,4.1,4.6,2.5,3.61,308418,99782,9071125,1
P05849,Velachery,1846,3,2,5,No,House,AllPub,Gravel,RM,3.6,3.9,2,3.26,378554,129790,10815830,0
P04250,KK Nagar,2019,3,2,5,Yes,Others,NoSewr ,Paved,RM,3.8,3.1,3.2,3.35,601718,230445,12802500,1
P03292,Karapakkam,1578,2,2,4,Yes,Others,AllPub,Gravel,I,4.3,4.6,3.4,,295508,238313,9532500,1
